"Model","StateNum","Probability.Cut.Off","Granularity","Window.Size","Sample.Size","BinNum","Avg.Cycle.Usage1","Avg.Cycle.Usage2","Survival.Rate","Correctly.Scheduled","Correctly.Unscheduled"
"AR1_logistic_lm",0,0.005,0.78125,36,100,1000,0.146278897930642,0.142175879659665,0.738843071460108,0.222543352601156,0.885391104698312
"AR1_logistic_lm",0,0.01,0.78125,36,100,500,0.148039862679392,0.143900514040257,0.746292491322378,0.23121387283237,0.88561208308968
"AR1_logistic_lm",0,0.01,0.78125,36,100,1000,0.161534955784251,0.157107666879994,0.730292118580561,0.23121387283237,0.88561208308968
"AR1_logistic_lm",0,0.1,0.78125,36,100,500,0.226047047065634,0.219936204465788,0.68790730998115,0.179422835633626,0.894917644796102
"AR1_logistic_lm",0,0.1,0.78125,36,100,1000,0.23524686360167,0.228939595032368,0.653613317428047,0.179422835633626,0.894917644796102
"AR1_logistic_lm",0,0.75,0.78125,36,100,500,0.338866423388713,0.329400886219784,0.446849169530605,0.0687411598302687,0.942016210140212
"AR1_logistic_lm",0,0.75,0.78125,36,100,1000,0.341027632990905,0.331761448580323,0.438309945055899,0.0687411598302687,0.942016210140212
"AR1_logistic_lm",0,0.005,1.5625,36,100,500,0.131923570098641,0.128186470785016,0.744384057799192,0.222543352601156,0.890251608758386
"AR1_logistic_lm",0,0.005,1.5625,36,100,1000,0.144899062562462,0.140813691461467,0.726872486466452,0.222543352601156,0.890251608758386
"AR1_logistic_lm",0,0.01,1.5625,36,100,500,0.146921920426551,0.14278347039451,0.740735833701944,0.23121387283237,0.890474610023233
"AR1_logistic_lm",0,0.01,1.5625,36,100,1000,0.160578691630033,0.156152104464596,0.725838169590284,0.23121387283237,0.890474610023233
"AR1_logistic_lm",0,0.1,1.5625,36,100,500,0.224595706965901,0.218579905002843,0.686192288860449,0.179422835633626,0.899848806210165
"AR1_logistic_lm",0,0.1,1.5625,36,100,1000,0.233957729754094,0.22762990903754,0.642420293458917,0.179422835633626,0.899848806210165
"AR1_logistic_lm",0,0.75,1.5625,36,100,500,0.3405715066289,0.331089909335328,0.457847032200836,0.0673170731707317,0.947015322723777
"AR1_logistic_lm",0,0.75,1.5625,36,100,1000,0.343304857040285,0.334002906622312,0.447714560409033,0.0673170731707317,0.947015322723777
"AR1_logistic_lm",0,0.005,3.125,36,100,500,0.130104636796514,0.126287767748085,0.742789457941567,0.222543352601156,0.903542954638806
"AR1_logistic_lm",0,0.005,3.125,36,100,1000,0.142925296097687,0.138827618676631,0.722934593629052,0.222543352601156,0.903542954638806
"AR1_logistic_lm",0,0.01,3.125,36,100,500,0.144980077079513,0.140913231119203,0.736577698369782,0.23121387283237,0.903771487575006
"AR1_logistic_lm",0,0.01,3.125,36,100,1000,0.158118353327446,0.153697565994803,0.716795345895094,0.23121387283237,0.903771487575006
