"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"1220941",4,3,2,4,1,2,4,2,4,1,1,2,2,0,2,0,0,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1947988",6,2,2,2,3,1,1,3,2,5,3,1,1,1,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"807274",4,3,0,1,0,2,2,0,4,3,1,5,2,0,0,0,0,2,1,0,1,0,1,1,2,1,0,1,0,0,0,0,0,1,0,0,2
"1475279",2,4,3,1,2,3,3,2,2,2,3,5,3,3,1,3,1,0,1,1,2,2,0,2,0,0,1,1,0,0,0,2,1,1,1,0,5
"594559",1,0,1,0,1,0,2,3,2,1,2,5,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,4
"965207",0,1,1,0,1,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942980",4,0,1,0,3,1,1,4,2,3,3,2,2,1,0,0,0,1,3,1,1,1,2,1,0,0,0,1,1,0,1,0,0,0,0,0,8
"715586",3,0,2,1,3,0,0,2,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"799526",1,3,2,2,0,1,2,2,0,0,1,1,1,0,2,1,1,0,0,2,0,2,1,0,1,3,0,0,0,0,1,0,0,1,0,0,11
"1641403",3,1,0,3,1,2,0,2,1,3,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"1615370",0,4,1,1,0,3,0,1,3,2,4,2,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1771782",6,1,4,3,2,2,1,7,2,4,3,2,4,0,3,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,3
"1948338",0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,16
"1035359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"780697",3,7,1,1,2,2,1,4,1,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,2
"1061254",4,2,0,2,4,0,2,1,2,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1938269",0,0,2,1,2,7,3,1,4,0,2,3,0,1,4,1,0,3,0,1,2,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,5
"827636",1,2,2,1,4,4,2,1,3,0,2,2,2,1,0,0,2,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"1629198",1,1,0,1,2,2,1,0,1,3,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"605145",6,4,2,2,2,11,0,3,3,2,3,5,5,0,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3
"1053575",1,4,2,2,4,4,4,3,0,1,4,4,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1947803",2,3,2,1,2,2,2,1,1,0,0,12,0,0,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"706990",1,2,0,0,5,0,3,0,0,2,2,9,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1061169",1,4,3,0,0,1,1,0,0,0,0,5,2,1,0,0,0,0,2,0,0,3,0,3,0,1,0,1,1,2,1,1,1,0,0,1,10
"282785",0,1,1,2,5,0,1,3,1,2,0,1,4,0,3,1,1,1,1,1,1,0,0,2,0,1,0,1,0,1,0,0,3,0,0,0,13
"825849",1,4,1,1,0,1,0,3,0,1,1,11,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0,3,0,0,0,8
